"runCount","noiseLevel","distinctRunNo","decision","maximumSM","midpoint","slopeParam","maximumDSM","midPoint1Param","slope1Param","slope2Param","midPointDistanceParam","finalAsymptoteIntensityRatio","timeChoice","noiseType","maximumSMValue","slopeParamValue","midpointValue","mAError","realInput"
NA,1.5,1,"sigmoidal",6.92121850741453,11.4284166288765,2.04907016879878,NA,NA,NA,NA,NA,NA,"uniform","multiplicative",5.29287954780739,2.45115936117849,11.1673207171261,0.186800281237801,"sigmoidal"
NA,1.35,1,"sigmoidal",5.7744614714656,11.2708840569707,2.46292552376252,NA,NA,NA,NA,NA,NA,"uniform","multiplicative",5.29287954780739,2.45115936117849,11.1673207171261,0.0588219163476653,"sigmoidal"
NA,1.2,1,"sigmoidal",6.96178231005277,11.9029969816105,0.694662034698939,NA,NA,NA,NA,NA,NA,"uniform","multiplicative",5.29287954780739,2.45115936117849,11.1673207171261,0.180645809947247,"sigmoidal"
NA,1.05,1,"sigmoidal",6.36679459924825,11.0596513063481,3.07691464551583,NA,NA,NA,NA,NA,NA,"uniform","multiplicative",5.29287954780739,2.45115936117849,11.1673207171261,0.143081148034795,"sigmoidal"
NA,0.9,1,"sigmoidal",6.21819005186457,11.4765724473589,1.71604252797241,NA,NA,NA,NA,NA,NA,"uniform","multiplicative",5.29287954780739,2.45115936117849,11.1673207171261,0.103657810781227,"sigmoidal"
NA,0.75,1,"sigmoidal",5.69942365065776,11.497180862325,1.38219503623274,NA,NA,NA,NA,NA,NA,"uniform","multiplicative",5.29287954780739,2.45115936117849,11.1673207171261,0.0583379704234046,"sigmoidal"
NA,0.6,1,"sigmoidal",5.67396356619249,11.1567901262125,3.37227648332055,NA,NA,NA,NA,NA,NA,"uniform","multiplicative",5.29287954780739,2.45115936117849,11.1673207171261,0.0578425189724071,"sigmoidal"
NA,0.45,1,"sigmoidal",5.31871191942198,11.2851548870373,2.04679742125158,NA,NA,NA,NA,NA,NA,"uniform","multiplicative",5.29287954780739,2.45115936117849,11.1673207171261,0.00921453041396061,"sigmoidal"
NA,0.3,1,"sigmoidal",5.36690918189854,11.2558724242833,2.25027280360123,NA,NA,NA,NA,NA,NA,"uniform","multiplicative",5.29287954780739,2.45115936117849,11.1673207171261,0.0112659736693432,"sigmoidal"
NA,0.15,1,"sigmoidal",5.23566491005801,11.1669571295499,2.48955062304794,NA,NA,NA,NA,NA,NA,"uniform","multiplicative",5.29287954780739,2.45115936117849,11.1673207171261,0.00727432615832293,"sigmoidal"
NA,0,1,"sigmoidal",5.29287954762428,11.1673207202782,2.45115937090926,NA,NA,NA,NA,NA,NA,"uniform","multiplicative",5.29287954780739,2.45115936117849,11.1673207171261,2.36222527424157e-10,"sigmoidal"
NA,1.5,1,"sigmoidal",4.93633554503694,6.06954418295568,0.793478980634823,NA,NA,NA,NA,NA,NA,"beta_0.5_1.5","multiplicative",4.30053994066548,0.793921512199226,6.22022098861635,0.0918897463729659,"sigmoidal"
NA,1.35,1,"sigmoidal",4.7085374373012,5.50994832697429,1.4674817373777,NA,NA,NA,NA,NA,NA,"beta_0.5_1.5","multiplicative",4.30053994066548,0.793921512199226,6.22022098861635,0.0934350759097056,"sigmoidal"
NA,1.2,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_0.5_1.5","multiplicative",4.30053994066548,0.793921512199226,6.22022098861635,NA,"sigmoidal"
NA,1.05,1,"sigmoidal",5.5398766770263,7.38090816982245,0.668439403136604,NA,NA,NA,NA,NA,NA,"beta_0.5_1.5","multiplicative",4.30053994066548,0.793921512199226,6.22022098861635,0.116964652650158,"sigmoidal"
NA,0.9,1,"double_sigmoidal",NA,NA,NA,4.93893013039316,6.48410613250288,0.953772108777138,6.67175161856504,12.2175780464411,0.540334982441332,"beta_0.5_1.5","multiplicative",4.30053994066548,0.793921512199226,6.22022098861635,0.0942358575429404,"sigmoidal"
