"true_model","noise_type","time_sampling","noise_parameter","distinct_model_parameters","distinct_runs","run_no","n_samples","t_min","t_max","maximum_SM","slope_param_SM","midpoint_SM","final_asymptoteIntensity_ratio_DSM","maximum_DSM","slope1_param_DSM","midpoint1_param_DSM","slope2_param_DSM","midPoint_distance_param_DSM","p_predicted_model","p_maximum_SM","p_midpoint_SM","p_slope_param_SM","p_AIC","p_mean_absolute_error","p_final_asymptoteIntensity_ratio_DSM","p_maximum_DSM","p_slope1_param_DSM","p_midpoint1_param_DSM","p_slope2_param_DSM","p_midPoint_distance_param_DSM","p_error"
"SM","additive","equidistant",0,45,1,45,55,3,30,"18.5156873954926","2.35161768446657","20.2230296060443",NA,NA,NA,NA,NA,NA,"sigmoidal","18.5156873954926","20.2230296060443","2.35161768446657","-3804.6274964444","0",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0,46,1,46,55,3,30,"9.63943306535948","6.60025685714933","13.1058278605342",NA,NA,NA,NA,NA,NA,"sigmoidal","9.64454599591844","13.1118739930374","6","-478.02095057906","0.000933557788217274",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0,47,1,47,55,3,30,"18.6154892957071","5.92315319236871","23.376696517691",NA,NA,NA,NA,NA,NA,"sigmoidal","18.6154892957071","23.376696517691","5.92315319236874","-3893.61070680971","3.24633440602125e-17",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0,48,1,48,55,3,30,"17.5734721482499","156.070389491886","7.27280924655497",NA,NA,NA,NA,NA,NA,"sigmoidal","17.6227574271401","7.25094822403263","6","-205.447298620072","0.00919448576741452",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0,49,1,49,55,3,30,"1.6044320667861","1.92373976578857","20.8388153146952",NA,NA,NA,NA,NA,NA,"sigmoidal","1.6044320667861","20.8388153146952","1.92373976578857","-3639.37801479369","8.39194372822245e-17",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0,50,1,50,55,3,30,"13.9396935146069","4.77207736008934","21.7701726760715",NA,NA,NA,NA,NA,NA,"sigmoidal","13.9396935146069","21.7701726760715","4.77207736008936","-3787.95392405284","3.59563179131307e-17",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,1,1,51,55,3,30,"11.8230514855357","0.907510203390196","16.2393865194172",NA,NA,NA,NA,NA,NA,"sigmoidal","11.9845875199259","15.981376410536","0.696037748141297","-163.540418248056","0.020413858431617",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,2,1,52,55,3,30,"17.8378565000603","2.17069494827544","13.9161662310362",NA,NA,NA,NA,NA,NA,"sigmoidal","17.8761835264884","13.8139267525821","1.64290359113468","-164.593645140305","0.0089020287205499",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,3,1,53,55,3,30,"7.59590543913655","1.51209745388772","11.7667107023299",NA,NA,NA,NA,NA,NA,"sigmoidal","7.64146957168253","11.7453863155071","1.17136364153043","-176.57017273482","0.0118571400910258",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,4,1,54,55,3,30,"13.4871038003592","3.19486767840839","4.75814385339618",NA,NA,NA,NA,NA,NA,"sigmoidal","13.5289240398979","4.67738285837261","2.82987200343697","-196.534772801066","0.0058615633052704",NA,NA,NA,NA,NA,NA,NA
